序号,关键词,一级分类,二级主题,搜索意图,百度统计PV,第三方流量指数,GEO机会值,社媒热度值,数据来源,来源数,需求级别
84,wps在线版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,56.0,,,,百度统计真实流量,1,
85,wps政府版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,54.0,,,,百度统计真实流量,1,
86,wps办公软件,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,54.0,,,,百度统计真实流量,1,
87,wps2023,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,53.0,,,,百度统计真实流量,1,
88,WPS 网页版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,53.0,,,,百度统计真实流量,1,
89,wps图片,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,46.0,,,,百度统计真实流量,1,
90,wwps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,46.0,,,,百度统计真实流量,1,
91,WPS Office办公软件,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,46.0,,,,百度统计真实流量,1,
92,WPS365,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,45.0,,,,百度统计真实流量,1,
93,wps管网,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,44.0,,,,百度统计真实流量,1,
94,https://www.wps.cn,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,43.0,,,,百度统计真实流量,1,
95,wPs,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,42.0,,,,百度统计真实流量,1,
96,wpsppt,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,42.0,,,,百度统计真实流量,1,
97,wps office网页版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,41.0,,,,百度统计真实流量,1,
98,wpsoffice网页版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,40.0,,,,百度统计真实流量,1,
99,wps64位,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,38.0,,,,百度统计真实流量,1,
100,网页版wps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,37.0,,,,百度统计真实流量,1,
101,WPS在线版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,36.0,,,,百度统计真实流量,1,
102,WPS PPT,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,36.0,,,,百度统计真实流量,1,
103,wps excel,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,35.0,,,,百度统计真实流量,1,
104,WPS管网,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,34.0,,,,百度统计真实流量,1,
105,wps线上,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,32.0,,,,百度统计真实流量,1,
106,www.wps.cn/,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,32.0,,,,百度统计真实流量,1,
107,WPS Office 个人版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,31.0,,,,百度统计真实流量,1,
108,office wps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,31.0,,,,百度统计真实流量,1,
109,wps pdf,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,30.0,,,,百度统计真实流量,1,
110,WPS图片,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,30.0,,,,百度统计真实流量,1,
111,wps office个人版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,30.0,,,,百度统计真实流量,1,
112,WPS在线使用,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,30.0,,,,百度统计真实流量,1,
113,wps专业版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,29.0,,,,百度统计真实流量,1,
114,WWW.WPS.CN,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,29.0,,,,百度统计真实流量,1,
115,网页版WPS,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,29.0,,,,百度统计真实流量,1,
116,金山office,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,29.0,,,,百度统计真实流量,1,
117,wps协作,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,28.0,,,,百度统计真实流量,1,
118,WPS PDF,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,28.0,,,,百度统计真实流量,1,
119,WPS WPS,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,28.0,,,,百度统计真实流量,1,
120,WPS 在线版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,26.0,,,,百度统计真实流量,1,
121,wps word,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,26.0,,,,百度统计真实流量,1,
122,wps OFFICE,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,25.0,,,,百度统计真实流量,1,
123,办公软件wps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,25.0,,,,百度统计真实流量,1,
124,金山软件wps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,25.0,,,,百度统计真实流量,1,
125,WPS线上,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,25.0,,,,百度统计真实流量,1,
126,WPS2023,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,25.0,,,,百度统计真实流量,1,
127,wps灵犀,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,23.0,,,,百度统计真实流量,1,
128,wps.com,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,23.0,,,,百度统计真实流量,1,
129,wps路cn,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,22.0,,,,百度统计真实流量,1,
130,WPS64位,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,22.0,,,,百度统计真实流量,1,
131,wps网站,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,22.0,,,,百度统计真实流量,1,
132,wps办公,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,22.0,,,,百度统计真实流量,1,
133,wps Office,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,21.0,,,,百度统计真实流量,1,
134,wpsguanwang,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,21.0,,,,百度统计真实流量,1,
135,在线wps网页版入口,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,21.0,,,,百度统计真实流量,1,
136,wps 个人版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,21.0,,,,百度统计真实流量,1,
137,wps 365,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,20.0,,,,百度统计真实流量,1,
138,WPS 在线,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,20.0,,,,百度统计真实流量,1,
139,wpss,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,19.0,,,,百度统计真实流量,1,
140,www.wps.com,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,19.0,,,,百度统计真实流量,1,
141,WPS.CN,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,19.0,,,,百度统计真实流量,1,
142,wps 文档,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,19.0,,,,百度统计真实流量,1,
143,WPS 365,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,19.0,,,,百度统计真实流量,1,
144,WPS Office网页版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,18.0,,,,百度统计真实流量,1,
145,WPS软件,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,18.0,,,,百度统计真实流量,1,
146,WPS专业版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,18.0,,,,百度统计真实流量,1,
147,WPS文档,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,18.0,,,,百度统计真实流量,1,
148,wpscn,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,18.0,,,,百度统计真实流量,1,
149,wpswps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,17.0,,,,百度统计真实流量,1,
150,wwwwpscn,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,17.0,,,,百度统计真实流量,1,
151,WPS路CN,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,17.0,,,,百度统计真实流量,1,
152,wps云盘,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,17.0,,,,百度统计真实流量,1,
153,在线wps文档,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,17.0,,,,百度统计真实流量,1,
154,wps pro,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,16.0,,,,百度统计真实流量,1,
155,金山 wps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,16.0,,,,百度统计真实流量,1,
156,wps office在线使用,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,16.0,,,,百度统计真实流量,1,
157,wps 64位,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,16.0,,,,百度统计真实流量,1,
158,wps在线网页版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,15.0,,,,百度统计真实流量,1,
159,WPSguanwang,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,15.0,,,,百度统计真实流量,1,
160,wps协作网页版登录入口,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,15.0,,,,百度统计真实流量,1,
161,https://www.wps./,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,15.0,,,,百度统计真实流量,1,
162,WPS灵犀,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,15.0,,,,百度统计真实流量,1,
163,wpsoffic,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,15.0,,,,百度统计真实流量,1,
164,"WPS,",品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,15.0,,,,百度统计真实流量,1,
165,cn.wps.wps-office-pro,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,14.0,,,,百度统计真实流量,1,
166,WPS ppt,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,14.0,,,,百度统计真实流量,1,
167,wps最新版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,14.0,,,,百度统计真实流量,1,
168,http://www.wps.cn,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,13.0,,,,百度统计真实流量,1,
169,线上wps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,13.0,,,,百度统计真实流量,1,
170,wps office在线,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,13.0,,,,百度统计真实流量,1,
171,金山,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,13.0,,,,百度统计真实流量,1,
172,officewps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,13.0,,,,百度统计真实流量,1,
173,wps纯净版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,13.0,,,,百度统计真实流量,1,
174,wps网页端,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,13.0,,,,百度统计真实流量,1,
175,wps精简版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,13.0,,,,百度统计真实流量,1,
176,wps office办公软件,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,12.0,,,,百度统计真实流量,1,
177,WSP办公软件,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,12.0,,,,百度统计真实流量,1,
178,wps文档在线,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,12.0,,,,百度统计真实流量,1,
179,wps-office,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,12.0,,,,百度统计真实流量,1,
180,wps 网页,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,12.0,,,,百度统计真实流量,1,
181,wps2024,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,12.0,,,,百度统计真实流量,1,
182,WWW.wps.cn/,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,12.0,,,,百度统计真实流量,1,
183,在线表格wps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,12.0,,,,百度统计真实流量,1,
184,WPS 个人版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,12.0,,,,百度统计真实流量,1,
185,WPSPPT,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,12.0,,,,百度统计真实流量,1,
186,WWw.wps.cn/,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,12.0,,,,百度统计真实流量,1,
187,wps文字,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,12.0,,,,百度统计真实流量,1,
188,wps app,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,11.0,,,,百度统计真实流量,1,
189,网页wps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,11.0,,,,百度统计真实流量,1,
190,WPS.cn,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,11.0,,,,百度统计真实流量,1,
191,WPS历史版本,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,11.0,,,,百度统计真实流量,1,
192,wps online,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,11.0,,,,百度统计真实流量,1,
193,wps专业增强版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,11.0,,,,百度统计真实流量,1,
194,WPS Office个人版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,11.0,,,,百度统计真实流量,1,
195,wps最新版本,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,11.0,,,,百度统计真实流量,1,
196,wps网站入口,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,11.0,,,,百度统计真实流量,1,
197,我wps,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,10.0,,,,百度统计真实流量,1,
198,wpspc,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,10.0,,,,百度统计真实流量,1,
199,wps 在线版,品牌与官方入口,品牌词,品牌/官网/正版入口，路径短、转化快，重承接与信任,10.0,,,,百度统计真实流量,1,
